date,value,Flow
17/12/2015,0,57.275
17/12/2015,0,56.815
17/12/2015,0,56.713
17/12/2015,0,56.357
17/12/2015,0,55.899
17/12/2015,0,55.544
17/12/2015,0,55.189
17/12/2015,0,54.634
17/12/2015,0,54.281
17/12/2015,0,53.93
17/12/2015,0,53.679
17/12/2015,0,53.078
17/12/2015,0,52.529
17/12/2015,0,52.33
17/12/2015,0,51.883
17/12/2015,0,51.289
17/12/2015,0,50.747
17/12/2015,0,50.55
17/12/2015,0,50.107
17/12/2015,0,49.618
17/12/2015,0,49.227
17/12/2015,0,48.788
17/12/2015,0,48.545
17/12/2015,0,48.157
17/12/2015,0,47.77
17/12/2015,0,47.432
17/12/2015,0,47.143
17/12/2015,0,46.807
17/12/2015,0,46.375
17/12/2015,0,45.993
17/12/2015,0,45.802
17/12/2015,0,45.659
17/12/2015,0,45.279
17/12/2015,0,44.946
17/12/2015,0,44.757
17/12/2015,0,44.331
17/12/2015,0,44.096
17/12/2015,0,44.049
17/12/2015,0,43.813
17/12/2015,0,43.485
17/12/2015,0,43.344
17/12/2015,0,43.157
17/12/2015,0,42.876
17/12/2015,0,42.736
17/12/2015,0,42.689
17/12/2015,0,42.457
17/12/2015,0,42.177
17/12/2015,0,42.131
17/12/2015,0,41.76
17/12/2015,0,41.76
17/12/2015,0,41.39
17/12/2015,0,41.067
17/12/2015,0,40.883
17/12/2015,0,40.837
17/12/2015,0,40.561
17/12/2015,0,40.286
17/12/2015,0,40.149
17/12/2015,0,39.921
17/12/2015,0,39.784
17/12/2015,0,39.647
17/12/2015,0,39.465
17/12/2015,0,39.192
17/12/2015,0,39.011
17/12/2015,0,38.875
17/12/2015,0,38.784
17/12/2015,0,38.604
17/12/2015,0,38.288
17/12/2015,0,38.243
17/12/2015,0,38.018
17/12/2015,0,37.928
17/12/2015,0,37.614
17/12/2015,0,37.614
17/12/2015,0,37.345
17/12/2015,0,37.167
17/12/2015,0,37.033
17/12/2015,0,36.81
17/12/2015,0,36.632
17/12/2015,0,36.499
17/12/2015,0,36.499
17/12/2015,0,36.189
17/12/2015,0,36.012
17/12/2015,0,35.924
17/12/2015,0,35.791
17/12/2015,0,35.571
17/12/2015,0,35.483
17/12/2015,0,35.351
17/12/2015,0,35.219
17/12/2015,0,35.175
17/12/2015,0,34.912
17/12/2015,0,34.781
17/12/2015,0,34.738
17/12/2015,0,34.607
17/12/2015,0,34.302
17/12/2015,0,34.345
17/12/2015,0,34.128
17/12/2015,0,34.128
18/12/2015,0,33.824
18/12/2015,0,33.781
18/12/2015,0,33.564
18/12/2015,0,33.564
18/12/2015,0,33.435
18/12/2015,0,33.133
18/12/2015,0,32.918
18/12/2015,0,33.004
18/12/2015,0,32.875
18/12/2015,0,32.618
18/12/2015,0,32.532
18/12/2015,0,32.447
18/12/2015,0,32.19
18/12/2015,0,32.02
18/12/2015,0,31.807
18/12/2015,0,31.637
18/12/2015,0,31.68
18/12/2015,0,31.468
18/12/2015,0,31.383
18/12/2015,0,31.13
18/12/2015,0,31.172
18/12/2015,0,30.961
18/12/2015,0,30.877
18/12/2015,0,30.709
18/12/2015,0,30.541
18/12/2015,0,30.457
18/12/2015,0,30.415
18/12/2015,0,30.289
18/12/2015,0,30.122
18/12/2015,0,29.955
18/12/2015,0,29.997
18/12/2015,0,29.83
18/12/2015,0,29.913
18/12/2015,0,29.664
18/12/2015,0,29.664
18/12/2015,0,29.664
18/12/2015,0,29.622
18/12/2015,0,29.664
18/12/2015,0,29.581
18/12/2015,0,29.581
18/12/2015,0,29.456
18/12/2015,0,29.415
18/12/2015,0,29.498
18/12/2015,0,29.415
18/12/2015,0,29.539
18/12/2015,0,29.456
18/12/2015,0,29.498
18/12/2015,0,29.539
18/12/2015,0,29.456
18/12/2015,0,29.498
18/12/2015,0,29.415
18/12/2015,0,29.249
18/12/2015,0,29.332
18/12/2015,0,29.208
18/12/2015,0,29.291
18/12/2015,0,29.125
18/12/2015,0.2,29.084
18/12/2015,0,28.919
18/12/2015,0,28.919
18/12/2015,0,28.96
18/12/2015,0,28.878
18/12/2015,0.2,28.878
18/12/2015,0,28.713
18/12/2015,0,28.713
18/12/2015,0,28.631
18/12/2015,0,28.59
18/12/2015,0,28.59
18/12/2015,0,28.59
18/12/2015,0,28.467
18/12/2015,0,28.303
18/12/2015,0,28.18
18/12/2015,0,28.221
18/12/2015,0,27.976
18/12/2015,0,28.017
18/12/2015,0,27.935
18/12/2015,0,27.894
18/12/2015,0,27.772
18/12/2015,0,27.609
18/12/2015,0,27.65
18/12/2015,0,27.731
18/12/2015,0,27.609
18/12/2015,0,27.609
18/12/2015,0,27.447
18/12/2015,0,27.447
18/12/2015,0,27.447
18/12/2015,0,27.366
18/12/2015,0,27.325
18/12/2015,0,27.204
18/12/2015,0,27.164
18/12/2015,0,27.164
18/12/2015,0,27.043
18/12/2015,0,27.043
18/12/2015,0,26.962
18/12/2015,0,26.962
18/12/2015,0,27.002
18/12/2015,0,26.72
19/12/2015,0,26.68
19/12/2015,0,26.56
19/12/2015,0,26.6
19/12/2015,0,26.519
19/12/2015,0,26.439
19/12/2015,0,26.399
19/12/2015,0,26.439
19/12/2015,0,26.199
19/12/2015,0,26.119
19/12/2015,0,25.92
19/12/2015,0,26
19/12/2015,0,25.88
19/12/2015,0,25.84
19/12/2015,0,25.721
19/12/2015,0,25.681
19/12/2015,0,25.523
19/12/2015,0,25.523
19/12/2015,0,25.443
19/12/2015,0,25.443
19/12/2015,0,25.364
19/12/2015,0,25.206
19/12/2015,0,25.127
19/12/2015,0,25.127
19/12/2015,0,25.009
19/12/2015,0,24.97
19/12/2015,0,24.93
19/12/2015,0,24.695
19/12/2015,0,24.695
19/12/2015,0,24.655
19/12/2015,0,24.616
19/12/2015,0,24.46
19/12/2015,0,24.382
19/12/2015,0,24.421
19/12/2015,0,24.264
19/12/2015,0,24.303
19/12/2015,0,24.264
19/12/2015,0,24.226
19/12/2015,0.2,24.343
19/12/2015,0,24.187
19/12/2015,0,24.109
19/12/2015,0,24.031
19/12/2015,0,24.031
19/12/2015,0,24.031
19/12/2015,0,24.031
19/12/2015,0,24.031
19/12/2015,0,23.992
19/12/2015,0,23.992
19/12/2015,0.2,23.953
19/12/2015,0,23.914
19/12/2015,0,24.031
19/12/2015,0,24.07
19/12/2015,0,24.109
19/12/2015,0,24.226
19/12/2015,0,24.226
19/12/2015,0,24.148
19/12/2015,0,24.226
19/12/2015,0,24.226
19/12/2015,0,24.304
19/12/2015,0,24.304
19/12/2015,0.2,24.343
19/12/2015,0.2,24.343
19/12/2015,0,24.304
19/12/2015,0,24.499
19/12/2015,0.2,24.46
19/12/2015,0,24.539
19/12/2015,0,24.656
19/12/2015,0.2,24.5
19/12/2015,0,24.578
19/12/2015,0.2,24.539
19/12/2015,0.2,24.304
19/12/2015,0,24.343
19/12/2015,0,24.421
19/12/2015,0,24.226
19/12/2015,0.2,24.07
19/12/2015,0.2,23.954
19/12/2015,0.2,23.954
19/12/2015,0,23.799
19/12/2015,0,23.837
19/12/2015,0.2,23.799
19/12/2015,0.6,23.682
19/12/2015,0.2,23.605
19/12/2015,0,23.682
19/12/2015,0,23.644
19/12/2015,0,23.682
19/12/2015,0.2,23.644
19/12/2015,0,23.683
19/12/2015,0.2,23.644
19/12/2015,0,23.528
19/12/2015,0,23.528
19/12/2015,0,23.605
19/12/2015,0,23.451
19/12/2015,0,23.374
19/12/2015,0,23.374
19/12/2015,0,23.335
19/12/2015,0,23.181
19/12/2015,0.4,23.297
20/12/2015,0.8,23.181
20/12/2015,0.2,23.258
20/12/2015,0,23.335
20/12/2015,0,23.258
20/12/2015,0,23.297
20/12/2015,0,23.258
20/12/2015,0,23.374
20/12/2015,0.2,23.451
20/12/2015,0.6,23.412
20/12/2015,3,23.22
20/12/2015,1,23.258
20/12/2015,0,23.297
20/12/2015,0.4,23.297
20/12/2015,3,23.181
20/12/2015,1,23.066
20/12/2015,0.4,22.951
20/12/2015,0,23.066
20/12/2015,0.2,23.105
20/12/2015,0,23.105
20/12/2015,0,23.066
20/12/2015,0,23.066
20/12/2015,0,23.22
20/12/2015,0,23.297
20/12/2015,0,23.529
20/12/2015,0.2,23.529
20/12/2015,0,23.8
20/12/2015,0,24.188
20/12/2015,0,24.618
20/12/2015,0,25.525
20/12/2015,0,26.643
20/12/2015,0,28.061
20/12/2015,0,29.751
20/12/2015,0,31.472
20/12/2015,0,33.31
20/12/2015,0,35.005
20/12/2015,0,36.549
20/12/2015,0,38.024
20/12/2015,0,39.426
20/12/2015,0,40.339
20/12/2015,0,41.212
20/12/2015,0,41.952
20/12/2015,0,42.324
20/12/2015,0,42.277
20/12/2015,0,42.51
20/12/2015,0,42.743
20/12/2015,0,42.65
20/12/2015,0,42.65
20/12/2015,0,42.371
20/12/2015,0,42.51
20/12/2015,0,42.371
20/12/2015,0,42.231
20/12/2015,0,41.999
20/12/2015,0,41.953
20/12/2015,0,41.906
20/12/2015,0,41.721
20/12/2015,0,41.628
20/12/2015,0,41.443
20/12/2015,0,41.351
20/12/2015,0,41.351
20/12/2015,0,41.167
20/12/2015,0,41.213
20/12/2015,0,41.351
20/12/2015,0,41.028
20/12/2015,0,40.982
