date,value,Flow
08/06/2020,0,13.413
08/06/2020,0,13.413
08/06/2020,0,13.382
08/06/2020,0,13.413
08/06/2020,0,13.382
08/06/2020,0,13.382
08/06/2020,0,13.319
08/06/2020,0,13.382
08/06/2020,0,13.35
08/06/2020,0,13.382
08/06/2020,0,13.35
08/06/2020,0,13.319
08/06/2020,0,13.162
08/06/2020,0,13.099
08/06/2020,0,13.068
08/06/2020,0,13.068
08/06/2020,0,12.974
08/06/2020,0,12.943
08/06/2020,0,12.943
08/06/2020,0,12.943
08/06/2020,0,12.849
08/06/2020,0,12.818
08/06/2020,0,12.755
08/06/2020,0,12.755
08/06/2020,0,12.692
08/06/2020,0,12.661
08/06/2020,0,12.599
08/06/2020,0,12.63
08/06/2020,0,12.568
08/06/2020,0,12.505
08/06/2020,0,12.505
08/06/2020,0,12.38
08/06/2020,0,12.349
08/06/2020,0,12.38
08/06/2020,0,12.443
08/06/2020,0,12.536
08/06/2020,0,12.505
08/06/2020,0,12.474
08/06/2020,0,12.505
08/06/2020,0,12.474
08/06/2020,0,12.536
08/06/2020,0,12.443
08/06/2020,0,12.474
08/06/2020,0,12.536
08/06/2020,0,12.505
08/06/2020,0,12.568
08/06/2020,0,12.536
08/06/2020,0,12.599
08/06/2020,0,12.692
08/06/2020,0,12.755
08/06/2020,0,12.849
08/06/2020,0,12.849
08/06/2020,0,12.849
08/06/2020,0,12.943
08/06/2020,0,12.974
08/06/2020,0,13.005
08/06/2020,0,13.099
08/06/2020,0,13.256
08/06/2020,0,13.319
08/06/2020,0,13.319
08/06/2020,0,13.225
08/06/2020,0,13.287
08/06/2020,0,13.319
08/06/2020,0,13.225
08/06/2020,0,13.287
08/06/2020,0,13.225
08/06/2020,0,13.287
08/06/2020,0,13.225
08/06/2020,0,13.225
08/06/2020,0,13.225
08/06/2020,0,13.162
08/06/2020,0,13.162
08/06/2020,0,13.099
08/06/2020,0,13.162
08/06/2020,0,13.162
08/06/2020,0,13.131
08/06/2020,0,13.131
08/06/2020,0,13.162
08/06/2020,0,13.162
08/06/2020,0,13.193
08/06/2020,0,13.131
08/06/2020,0,13.131
08/06/2020,0,13.193
08/06/2020,0,13.287
08/06/2020,0,13.256
08/06/2020,0,13.319
08/06/2020,0,13.287
08/06/2020,0,13.256
08/06/2020,0,13.35
08/06/2020,0,13.35
08/06/2020,0,13.256
08/06/2020,0,13.35
08/06/2020,0,13.413
08/06/2020,0,13.35
08/06/2020,0,13.382
08/06/2020,0,13.445
09/06/2020,0,13.382
09/06/2020,0,13.539
09/06/2020,0,13.602
09/06/2020,0,13.822
09/06/2020,0,13.948
09/06/2020,0,14.075
09/06/2020,0,14.422
09/06/2020,0,14.866
09/06/2020,0,15.256
09/06/2020,0,15.832
09/06/2020,0,16.381
09/06/2020,0,16.9
09/06/2020,0,17.566
09/06/2020,0,18.346
09/06/2020,0,19.355
09/06/2020,0,20.343
09/06/2020,0,21.647
09/06/2020,0,23.477
09/06/2020,0,25.79
09/06/2020,0,28.129
09/06/2020,0,30.825
09/06/2020,0,33.771
09/06/2020,0,37.202
09/06/2020,0,41.197
09/06/2020,0,45.318
09/06/2020,0,50.099
09/06/2020,0,54.525
09/06/2020,0,58.191
09/06/2020,0,61.512
09/06/2020,0,64.891
09/06/2020,0,68.759
09/06/2020,0,74.305
09/06/2020,0,82.843
09/06/2020,0,93.201
09/06/2020,0,102.048
09/06/2020,0,109.901
09/06/2020,0,116.095
09/06/2020,0,122.763
09/06/2020,0,129.407
09/06/2020,0,135.718
09/06/2020,0,142.585
09/06/2020,0,149.641
09/06/2020,0,155.947
09/06/2020,0,162.102
09/06/2020,0,166.97
09/06/2020,0,178.487
09/06/2020,0,182.686
09/06/2020,0,187.417
09/06/2020,0,190.761
09/06/2020,0,193.114
09/06/2020,0,195.307
09/06/2020,0,195.899
09/06/2020,0,197.594
09/06/2020,0,199.548
09/06/2020,0,201.595
09/06/2020,0,204.506
09/06/2020,0,207.086
09/06/2020,0,210.11
09/06/2020,0,212.54
09/06/2020,0,214.629
09/06/2020,0,217.427
09/06/2020,0,220.764
09/06/2020,0,223.057
09/06/2020,0,225.713
09/06/2020,0,227.667
09/06/2020,0,230.431
09/06/2020,0,232.846
09/06/2020,0,234.641
09/06/2020,0,237.432
09/06/2020,0,237.974
09/06/2020,0,238.697
09/06/2020,0,239.601
09/06/2020,0,239.42
09/06/2020,0,239.963
09/06/2020,0,239.872
09/06/2020,0,239.42
09/06/2020,0,238.697
09/06/2020,0,237.974
09/06/2020,0,238.335
09/06/2020,0,236.261
09/06/2020,0,234.462
09/06/2020,0,232.04
09/06/2020,0,229.36
09/06/2020,0,226.867
09/06/2020,0,224.827
09/06/2020,0,221.381
09/06/2020,0,218.04
09/06/2020,0,214.368
09/06/2020,0,210.197
09/06/2020,0,207.086
09/06/2020,0,203.306
09/06/2020,0,200.23
09/06/2020,0,196.831
09/06/2020,0,193.535
09/06/2020,0,190.594
09/06/2020,0,188.085
10/06/2020,0,186.168
10/06/2020,0,184.341
10/06/2020,0,182.851
10/06/2020,0,181.695
10/06/2020,0,180.459
10/06/2020,0,179.308
10/06/2020,0,177.995
10/06/2020,0,177.013
10/06/2020,0,176.196
10/06/2020,0,175.869
10/06/2020,0.4,174.972
10/06/2020,0.2,174.484
10/06/2020,0.4,173.915
10/06/2020,0.4,173.427
10/06/2020,0.2,172.94
10/06/2020,0.2,171.886
10/06/2020,0,171.724
10/06/2020,0,170.43
10/06/2020,0,169.785
10/06/2020,0,168.818
10/06/2020,0,168.094
10/06/2020,0.2,166.97
10/06/2020,0,166.249
10/06/2020,0,165.288
10/06/2020,0,164.25
10/06/2020,0,163.613
10/06/2020,0,162.817
10/06/2020,0,162.181
10/06/2020,0,161.705
10/06/2020,0,161.705
10/06/2020,0,161.467
10/06/2020,0,161.308
10/06/2020,0,161.625
10/06/2020,0,161.625
10/06/2020,0,162.34
10/06/2020,0,162.817
10/06/2020,0,163.533
10/06/2020,0,163.772
10/06/2020,0,164.57
10/06/2020,0,165.209
10/06/2020,0,165.768
10/06/2020,0,166.168
10/06/2020,0,166.89
10/06/2020,0,167.772
10/06/2020,0.2,168.174
10/06/2020,0,169.059
10/06/2020,0.2,169.865
10/06/2020,0,170.35
10/06/2020,0,170.269
10/06/2020,0.2,171.239
10/06/2020,0,171.562
10/06/2020,0,171.562
10/06/2020,0.2,171.886
10/06/2020,0,172.291
10/06/2020,0,171.967
10/06/2020,0,172.048
10/06/2020,0,172.129
10/06/2020,0,171.562
10/06/2020,0,171.158
10/06/2020,0,170.753
10/06/2020,0,170.269
10/06/2020,0,169.14
10/06/2020,0,168.898
10/06/2020,0,167.933
10/06/2020,0.2,166.409
10/06/2020,0.2,165.848
10/06/2020,0.2,164.33
10/06/2020,0.2,163.533
10/06/2020,0.2,162.419
10/06/2020,0,161.387
10/06/2020,0,160.12
10/06/2020,0,159.172
10/06/2020,0,158.226
10/06/2020,0,157.203
10/06/2020,0,156.026
10/06/2020,0,155.555
10/06/2020,0.4,154.616
10/06/2020,0.8,153.601
10/06/2020,0.6,153.212
10/06/2020,0.2,152.978
10/06/2020,0.2,151.966
10/06/2020,0.2,150.88
10/06/2020,0,149.796
10/06/2020,0,148.637
10/06/2020,0,147.635
10/06/2020,0,146.482
10/06/2020,0,144.949
10/06/2020,0,144.338
10/06/2020,0,142.965
10/06/2020,0.2,141.521
10/06/2020,0,140.687
10/06/2020,0,139.703
10/06/2020,0,138.345
10/06/2020,0,137.142
10/06/2020,0.2,136.692
10/06/2020,0,135.493
11/06/2020,0.2,134.597
11/06/2020,0,134.373
11/06/2020,0.2,133.851
11/06/2020,0,133.405
11/06/2020,0.2,132.884
11/06/2020,0.2,132.736
11/06/2020,0.2,132.29
11/06/2020,0.2,131.993
11/06/2020,0.2,130.957
11/06/2020,0.2,130.144
11/06/2020,0.2,129.628
11/06/2020,0.2,129.333
11/06/2020,0.2,128.377
11/06/2020,0,127.497
11/06/2020,0,126.765
11/06/2020,0,126.326
11/06/2020,0,125.596
11/06/2020,0,125.159
11/06/2020,0,124.577
11/06/2020,0,124.213
11/06/2020,0,124.141
11/06/2020,0,124.068
11/06/2020,0,123.923
11/06/2020,0,123.705
11/06/2020,0,123.197
11/06/2020,0,123.27
11/06/2020,0,122.618
11/06/2020,0,122.329
11/06/2020,0,121.751
11/06/2020,0,121.607
11/06/2020,0,121.391
11/06/2020,0,121.319
11/06/2020,0,121.246
11/06/2020,0,121.03
11/06/2020,0,120.526
11/06/2020,0,120.383
11/06/2020,0,119.593
11/06/2020,0,119.234
11/06/2020,0,118.447
11/06/2020,0,118.018
11/06/2020,0,117.02
11/06/2020,0,116.664
11/06/2020,0,116.166
11/06/2020,0,115.173
11/06/2020,0,114.748
11/06/2020,0,114.253
11/06/2020,0,113.829
11/06/2020,0,113.688
11/06/2020,0,113.336
11/06/2020,0,112.984
11/06/2020,0,112.351
11/06/2020,0,111.579
11/06/2020,0,111.369
11/06/2020,0,110.599
11/06/2020,0,109.901
11/06/2020,0,109.204
11/06/2020,0,108.509
11/06/2020,0,108.093
11/06/2020,0,107.538
11/06/2020,0,106.847
11/06/2020,0,106.364
11/06/2020,0,106.019
11/06/2020,0,105.399
11/06/2020,0,105.193
11/06/2020,0,104.712
11/06/2020,0,104.37
11/06/2020,0,103.685
11/06/2020,0,103.411
11/06/2020,0.2,102.933
11/06/2020,0,102.661
11/06/2020,0.2,102.116
11/06/2020,0.2,102.184
11/06/2020,0.2,102.048
11/06/2020,0,101.912
11/06/2020,0.2,101.504
11/06/2020,0,101.504
11/06/2020,0.2,101.029
11/06/2020,0.4,100.555
11/06/2020,0.2,99.811
11/06/2020,0,99.541
11/06/2020,0,98.867
11/06/2020,0.2,98.262
11/06/2020,0,97.725
11/06/2020,0,97.055
11/06/2020,0,96.788
11/06/2020,0.2,96.12
11/06/2020,0,95.321
11/06/2020,0.4,94.789
11/06/2020,0.4,94.06
11/06/2020,0,93.994
11/06/2020,0.2,93.267
11/06/2020,0.2,92.542
11/06/2020,0,91.884
11/06/2020,0,91.359
11/06/2020,0.2,90.508
11/06/2020,0.2,89.92
12/06/2020,0,89.595
12/06/2020,0,88.814
12/06/2020,0.2,88.554
12/06/2020,0.2,87.712
12/06/2020,0.2,87.131
12/06/2020,0,86.486
12/06/2020,0.2,86.1
12/06/2020,0,85.202
12/06/2020,0,84.626
12/06/2020,0.2,83.924
12/06/2020,0,83.415
12/06/2020,0,82.907
12/06/2020,0,82.336
12/06/2020,0,81.767
12/06/2020,0,81.136
12/06/2020,0,80.444
12/06/2020,0,80.193
12/06/2020,0,79.378
12/06/2020,0,78.941
12/06/2020,0,78.379
12/06/2020,0,78.006
12/06/2020,0.4,77.571
12/06/2020,0,77.199
12/06/2020,0,76.642
12/06/2020,0,76.209
12/06/2020,0.2,75.655
12/06/2020,0,75.286
12/06/2020,0.4,74.856
12/06/2020,0.2,74.488
12/06/2020,1.8,74.06
12/06/2020,2.4,73.755
12/06/2020,4.2,73.45
12/06/2020,1.6,73.084
12/06/2020,1.2,72.841
12/06/2020,1.2,72.416
12/06/2020,1,72.173
12/06/2020,1.6,71.689
12/06/2020,2,71.387
12/06/2020,1.6,71.025
12/06/2020,0.8,70.665
12/06/2020,0.2,70.337
12/06/2020,0,70.174
12/06/2020,0,69.955
12/06/2020,0.4,69.683
12/06/2020,0.2,69.248
12/06/2020,0.4,68.922
12/06/2020,0.2,68.759
12/06/2020,0,68.272
12/06/2020,0,68.056
12/06/2020,0,67.948
12/06/2020,0,67.516
12/06/2020,0,67.085
12/06/2020,0,66.977
12/06/2020,0,66.816
